date,Store_ID,Product_ID,Inventory_Level,Units_Sold,Units_Ordered,Price,Discount,Promotion,Competitor_Pricing,Demand
2022-09-28,S001,P0012,139,132,0,84.51,10,1,74.71,122
2022-07-31,S005,P0019,262,64,0,130.7,10,0,129.37,72
2023-06-08,S001,P0009,269,84,0,91.06,0,0,108.88,101
2022-06-28,S003,P0015,1128,204,0,109.27,10,0,127.63,170
2022-10-23,S001,P0016,73,73,0,36.6,0,0,40.26,81
2023-09-22,S001,P0016,501,98,0,38.86,15,1,35.86,134
2022-12-31,S001,P0020,779,42,0,103.97,5,0,99.57,39
2022-04-17,S003,P0004,253,37,0,17.67,15,1,15.93,54
2023-01-17,S003,P0017,443,118,522,129.99,5,0,149.47,110
2022-05-24,S005,P0018,144,85,0,19.52,10,1,18.39,79
2022-11-14,S001,P0020,450,68,0,126.95,0,0,126.28,78
2023-02-24,S005,P0015,285,126,308,56.59,10,0,49.2,156
2022-09-24,S004,P0004,339,202,0,70.89,0,0,84.09,195
2023-04-16,S005,P0017,84,21,50,28.11,5,0,31.2,31
2022-01-18,S003,P0013,707,98,0,67.64,10,0,72.15,108
2023-07-12,S003,P0002,464,143,427,51.17,25,1,54.64,162
2022-04-03,S002,P0002,221,150,318,30.08,20,1,33.17,136
2022-07-14,S002,P0013,340,82,0,16.7,25,1,14.89,84
2023-07-17,S004,P0012,162,107,0,93.82,20,1,103.09,100
2022-04-12,S001,P0005,316,146,0,67.02,5,0,77.68,156
2023-01-25,S001,P0018,173,138,129,64.63,10,0,62.16,135
2023-07-13,S002,P0012,373,86,0,54.58,20,1,59.48,92
2022-12-24,S004,P0005,215,87,0,74.1,10,0,66.47,117
2022-02-25,S005,P0006,136,84,0,57.98,5,0,65.39,106
2022-05-05,S005,P0017,106,80,76,35.24,5,0,39.35,91
2023-10-02,S005,P0013,461,155,549,96.04,10,1,84.05,207
2022-04-19,S005,P0001,298,153,375,14.89,15,1,14.18,214
2023-10-23,S005,P0013,438,95,0,57.62,25,1,66.43,108
2022-01-15,S001,P0011,216,121,197,178.08,0,0,198.55,102
2022-09-16,S003,P0015,1026,120,0,115.79,5,0,129.55,172
2022-11-18,S003,P0009,196,126,0,58.06,10,0,50.52,137
2022-01-03,S005,P0008,103,38,58,54.45,5,0,50.65,58
2022-04-30,S003,P0013,403,59,0,65.17,0,0,71.07,66
2022-05-27,S001,P0016,333,62,0,38.04,0,0,41.71,92
2023-03-20,S001,P0001,202,103,269,72.04,10,1,65.53,113
2022-07-17,S003,P0007,796,41,0,12.34,5,0,14.15,37
2022-05-06,S001,P0016,244,70,292,39.19,0,0,36.27,86
2022-06-07,S002,P0001,554,216,564,103.21,5,0,99.67,181
2023-09-20,S004,P0007,290,92,0,29.9,5,0,27.85,110
2023-11-12,S002,P0007,985,132,0,33.71,0,0,31.02,132
2022-06-17,S001,P0019,88,76,113,120.94,5,0,114.22,95
2023-12-14,S002,P0016,71,70,0,81.34,10,0,80.36,86
2022-09-22,S003,P0006,150,57,0,29.82,15,1,29.3,50
2022-09-06,S003,P0001,296,74,0,13.67,10,1,16.06,66
2023-01-15,S003,P0019,200,139,0,58.94,5,0,53.71,119
2022-02-17,S004,P0001,407,133,0,11.35,25,1,9.68,187
2023-02-14,S005,P0011,174,20,0,58.93,10,0,55.19,27
2023-08-06,S005,P0018,48,48,200,27.19,10,1,32.32,211
2023-09-23,S003,P0004,287,189,0,23.34,25,1,26.4,203
2023-11-29,S005,P0004,245,90,0,7.43,10,0,8.26,120
2023-01-06,S002,P0016,214,96,208,73.59,25,1,70.01,111
2022-10-19,S005,P0020,117,82,125,26.2,25,1,25.29,117
2023-11-26,S003,P0014,459,155,413,102.62,10,0,109.58,158
2022-04-12,S005,P0004,182,104,135,8.69,5,0,9.76,155
2023-04-16,S002,P0004,161,37,0,28.26,20,1,31.27,49
2023-02-03,S004,P0008,72,36,50,78.85,10,1,77.01,31
2022-02-22,S005,P0016,578,90,0,32.86,20,1,34.97,147
2023-12-15,S005,P0007,276,73,0,60.28,20,1,69.54,73
2024-01-09,S002,P0016,174,174,0,109.75,20,1,93.84,237
2022-05-21,S003,P0006,126,16,0,30.01,5,0,29.52,25
2022-02-12,S004,P0020,129,84,209,134.67,10,1,116.05,98
2022-11-17,S001,P0007,912,70,0,24.76,0,0,24.66,82
2022-12-17,S005,P0019,122,27,0,114.51,5,0,128.45,37
2022-05-21,S001,P0011,142,22,0,131.52,0,0,154.62,22
2023-10-12,S005,P0019,146,52,90,107.64,20,1,104.67,51
2023-04-12,S002,P0020,398,28,0,106.4,0,0,125.43,24
2023-09-21,S002,P0013,408,73,0,22.99,0,0,21.01,93
2022-09-05,S003,P0016,455,140,0,103.65,10,1,90.66,123
2022-05-18,S004,P0014,79,17,0,125.92,10,0,135.36,28
2022-05-07,S001,P0007,838,64,0,21.68,5,0,18.46,59
2022-01-01,S002,P0008,124,124,99,25.63,5,0,29.79,112
2023-05-26,S002,P0018,124,63,64,21.61,20,1,19.66,72
2022-03-07,S004,P0014,141,43,0,141.53,5,0,152.36,43
2023-04-05,S004,P0020,115,97,0,137.52,10,1,154.86,121
2023-11-21,S002,P0002,134,83,0,31.73,10,0,28.35,98
2022-04-14,S003,P0006,99,99,146,46.56,0,0,49.62,151
2023-06-12,S003,P0005,303,171,0,23.63,10,1,28.32,142
2022-01-09,S002,P0015,516,109,0,68.62,0,0,79.51,95
2022-09-25,S004,P0004,137,100,0,56.01,10,0,67.12,146
2022-01-18,S001,P0008,156,137,127,40.74,20,1,40.16,118
2022-10-31,S005,P0020,107,69,63,24.8,10,0,29.57,62
2022-02-04,S005,P0008,109,109,98,65.22,5,0,60.12,110
2023-11-17,S001,P0017,143,77,0,22.17,5,0,20.74,87
2023-03-01,S003,P0013,382,79,0,69.98,10,0,75.66,118
2022-01-05,S002,P0010,152,53,0,73.77,15,1,70.27,76
2022-07-08,S004,P0007,634,68,0,29.33,5,0,27.67,104
2023-05-22,S004,P0001,573,81,0,10.9,10,0,10.07,109
2022-06-05,S005,P0015,221,106,0,51.79,5,0,48.99,108
2023-03-13,S003,P0018,624,136,0,132.06,15,1,159.77,117
2023-06-24,S004,P0004,620,89,0,49.29,10,1,45.03,88
2022-02-13,S001,P0007,255,61,0,20.61,15,1,18.19,76
2023-11-29,S004,P0016,176,69,0,127.24,0,0,118.98,81
2023-05-31,S003,P0005,757,131,0,22.61,10,0,27.04,127
2023-07-06,S005,P0001,579,117,0,12.09,0,0,14.08,100
2023-08-16,S005,P0014,425,104,0,162.0,15,1,193.5,117
2022-12-11,S001,P0016,513,90,0,34.26,5,0,36.26,77
2022-05-13,S005,P0001,130,100,176,11.54,5,0,10.97,86
2023-07-31,S004,P0013,914,113,0,22.45,5,0,25.17,143
2022-11-28,S002,P0020,230,36,0,120.69,0,0,108.92,42
2023-04-06,S004,P0010,316,146,0,31.42,5,0,30.72,162
2022-09-14,S002,P0012,1045,82,0,61.19,10,0,56.86,77
2022-09-13,S002,P0014,387,87,0,108.05,10,0,127.17,84
2022-12-20,S003,P0013,378,130,0,67.44,20,1,66.86,128
2023-02-17,S002,P0001,333,102,353,81.63,0,0,98.73,100
2023-03-06,S003,P0009,125,125,123,62.27,0,0,72.59,143
2022-06-23,S003,P0010,94,85,103,37.9,15,1,35.21,123
2023-10-11,S005,P0010,155,31,0,43.54,10,0,48.86,40
2023-09-22,S003,P0012,163,66,168,87.25,15,1,98.39,86
2023-10-28,S002,P0003,425,81,0,65.62,10,0,77.4,68
2022-03-23,S002,P0016,283,136,0,99.07,0,0,97.76,114
2023-06-15,S003,P0014,805,165,0,110.27,10,0,123.81,185
2024-01-04,S003,P0019,122,44,0,45.59,0,0,53.71,45
2023-07-19,S004,P0012,113,111,104,121.89,5,0,105.9,112
2023-01-04,S001,P0014,425,65,0,53.65,25,1,47.55,78
2023-01-07,S001,P0020,364,51,323,115.38,10,0,103.99,81
2023-01-30,S002,P0003,189,37,0,70.23,5,0,60.57,58
2022-09-29,S003,P0014,1032,154,0,117.74,0,0,138.08,170
2022-09-12,S004,P0007,0,0,542,28.96,20,1,27.85,158
2022-02-19,S005,P0005,278,191,331,19.31,10,0,18.81,173
2022-12-30,S004,P0006,165,86,0,43.68,0,0,41.9,139
2022-08-08,S002,P0009,307,240,470,76.34,15,1,74.46,209
2023-01-11,S001,P0010,350,76,0,101.08,20,1,117.68,70
2022-12-22,S001,P0013,156,87,92,32.19,10,0,29.09,102
2022-01-07,S001,P0001,92,92,0,66.07,10,0,63.57,87
2022-07-19,S004,P0007,377,34,0,21.27,5,0,25.3,31
2022-04-22,S003,P0008,522,85,0,130.29,0,0,119.65,117
2023-02-28,S002,P0012,300,72,0,57.7,20,1,55.64,94
2023-08-19,S001,P0002,166,96,0,65.09,5,0,58.5,94
2023-08-05,S001,P0004,333,90,0,105.06,0,0,125.6,87
2023-07-07,S004,P0009,473,92,0,113.12,10,0,100.19,106
2022-02-15,S005,P0006,859,187,0,71.77,10,1,67.31,180
2023-08-22,S005,P0015,242,201,523,57.81,25,1,52.38,237
2022-02-11,S003,P0012,250,56,0,101.36,5,0,91.98,82
2022-03-10,S001,P0014,146,146,501,71.75,20,1,80.71,168
2023-01-24,S005,P0011,470,68,0,67.15,15,1,58.76,75
2023-08-03,S001,P0015,166,88,123,16.32,10,1,14.23,117
2023-07-16,S003,P0019,251,185,227,69.46,10,1,60.82,198
2023-10-26,S003,P0005,263,157,664,26.91,10,0,28.98,191
2022-09-05,S003,P0020,343,52,0,66.86,10,0,60.34,80
2023-05-16,S003,P0015,627,101,0,89.62,20,1,105.9,141
2022-04-14,S004,P0011,549,120,0,58.87,5,0,70.32,107
2022-06-27,S004,P0015,362,59,0,98.71,0,0,115.91,79
2023-07-19,S004,P0009,203,74,0,97.47,10,0,90.07,63
2023-10-16,S005,P0013,505,114,0,69.75,15,1,63.54,112
2023-12-24,S004,P0011,591,122,0,62.63,0,0,67.18,110
2023-06-15,S002,P0005,686,51,0,89.63,0,0,82.7,71
2023-08-05,S002,P0006,112,112,105,63.13,5,0,76.35,99
2023-07-23,S001,P0012,332,120,0,88.95,5,0,82.07,121
2022-09-04,S005,P0018,238,155,242,29.41,10,1,32.2,245
2022-09-30,S004,P0010,183,181,522,30.77,5,0,28.17,154
2022-10-16,S004,P0003,437,83,0,136.26,10,0,120.01,83
2023-03-31,S005,P0013,667,73,0,68.9,0,0,75.73,75
2022-04-30,S001,P0006,447,91,0,37.41,10,0,43.18,99
2022-09-29,S002,P0014,255,83,0,127.58,0,0,112.6,86
2022-09-13,S003,P0006,157,77,0,37.84,0,0,37.14,70
2022-02-21,S004,P0008,105,72,89,97.54,10,1,114.32,102
2022-05-14,S004,P0005,163,163,201,93.66,10,1,83.24,202
2022-01-07,S002,P0003,240,72,244,59.13,25,1,54.77,75
2022-09-30,S002,P0011,282,119,0,93.55,5,0,110.86,108
2022-01-19,S004,P0017,108,48,50,79.64,5,0,88.03,53
2022-12-11,S004,P0003,383,65,0,139.78,5,0,134.03,75
2023-03-19,S004,P0013,847,85,0,18.8,5,0,22.69,87
2022-05-23,S005,P0003,124,37,59,25.37,5,0,30.5,60
2022-12-01,S002,P0010,144,71,0,82.85,0,0,95.22,78
2023-06-02,S003,P0011,296,108,289,135.01,0,0,161.14,123
2023-11-24,S003,P0004,404,256,771,24.66,25,1,29.29,226
2023-08-13,S005,P0008,150,85,0,62.94,0,0,54.55,84
2023-04-26,S004,P0009,405,65,0,110.48,5,0,96.01,82
2023-04-06,S002,P0018,131,64,0,22.95,10,0,24.88,70
2023-03-26,S004,P0003,178,54,0,133.04,5,0,142.58,75
2022-12-16,S002,P0015,862,70,0,68.74,5,0,64.23,96
2022-11-07,S003,P0002,158,99,0,58.63,10,0,52.83,128
2022-10-14,S005,P0013,120,69,0,69.49,5,0,74.55,93
2022-11-24,S002,P0019,528,131,552,80.47,20,1,89.09,140
2022-02-07,S003,P0018,459,50,0,129.96,0,0,152.29,65
2024-01-13,S001,P0005,291,109,0,65.12,5,0,58.81,128
2023-11-14,S003,P0019,136,37,0,48.13,5,0,44.87,59
2023-02-11,S002,P0010,142,41,0,69.79,5,0,75.71,46
2022-06-26,S003,P0001,137,75,0,13.66,15,1,15.5,82
2022-02-15,S003,P0004,736,72,0,20.18,5,0,22.3,73
2023-05-29,S001,P0020,372,28,0,111.72,0,0,97.88,44
2023-09-18,S002,P0009,63,63,0,51.12,25,1,43.57,110
2022-06-23,S001,P0008,166,117,0,41.35,10,0,43.75,102
2022-06-25,S001,P0011,303,69,0,181.17,0,0,164.38,92
2022-01-12,S003,P0018,426,60,0,129.9,10,0,148.98,95
2023-04-12,S003,P0005,700,9,0,15.71,5,0,16.79,14
2023-12-16,S003,P0007,584,13,0,10.17,20,1,9.31,20
2022-01-06,S004,P0018,119,44,67,144.32,10,0,138.62,58
2022-08-17,S004,P0013,34,34,0,27.82,0,0,23.77,184
2023-07-18,S003,P0012,227,70,180,85.82,20,1,103.11,99
2023-07-25,S004,P0007,306,107,0,29.01,5,0,34.15,117
2023-11-05,S004,P0019,85,85,106,62.11,10,0,59.1,123
2022-12-01,S001,P0010,648,68,0,121.82,10,0,121.36,75
2023-11-26,S004,P0005,109,52,60,62.28,10,0,53.39,66
2023-06-23,S004,P0018,153,87,103,165.22,10,1,160.93,97
2022-08-29,S002,P0018,160,107,136,32.65,0,0,30.68,130
2023-10-11,S004,P0008,67,27,50,82.14,5,0,78.01,28
2022-05-23,S005,P0017,127,45,0,30.18,10,1,27.66,49
2023-06-10,S002,P0006,136,47,0,53.98,5,0,64.05,55
2023-12-12,S005,P0001,363,94,0,11.11,15,1,11.8,125
2022-09-25,S005,P0019,472,51,0,136.27,0,0,147.19,68
2023-01-16,S005,P0013,321,67,0,66.82,0,0,71.98,67
2022-03-05,S001,P0011,217,66,0,160.49,10,1,186.95,102
2023-03-10,S005,P0009,327,111,0,93.13,15,1,84.13,124
2023-04-04,S001,P0009,107,107,125,79.66,20,1,74.96,113
2022-04-22,S002,P0019,428,72,412,78.18,10,0,85.79,93
2023-02-21,S002,P0012,388,69,0,67.02,0,0,62.42,73
2022-10-31,S005,P0003,148,96,101,30.41,5,0,26.81,97
2022-03-07,S001,P0002,186,126,137,65.46,20,1,62.42,152
2022-04-11,S001,P0001,238,143,0,69.62,20,1,59.91,141
2022-12-28,S001,P0011,190,87,230,151.36,20,1,139.09,105
2022-04-27,S002,P0007,619,13,0,16.64,25,1,15.39,17
2022-09-24,S001,P0005,382,104,0,62.88,15,1,61.06,154
2022-05-12,S002,P0020,301,44,0,106.52,10,0,106.17,37
2023-08-06,S004,P0003,104,104,529,158.6,15,1,174.51,168
2022-06-25,S005,P0019,238,112,209,138.06,15,1,154.04,121
2023-03-04,S005,P0008,103,99,107,52.44,25,1,63.17,132
2022-08-01,S003,P0010,76,76,67,36.02,0,0,41.84,74
2023-09-10,S004,P0004,585,136,0,54.32,5,0,59.21,117
2022-10-11,S002,P0008,135,103,105,25.78,10,1,24.68,115
2023-03-07,S002,P0013,357,160,508,21.04,25,1,22.34,178
2022-05-14,S001,P0020,173,63,0,85.69,25,1,91.82,63
2022-09-18,S005,P0007,448,165,0,81.01,20,1,96.66,168
2022-01-14,S004,P0002,520,123,0,21.16,0,0,22.74,111
2022-09-24,S005,P0006,292,107,0,68.48,0,0,65.89,126
2023-03-20,S004,P0004,679,51,0,40.97,10,0,46.34,52
2023-01-11,S002,P0001,711,129,0,73.26,20,1,88.57,137
2022-05-15,S001,P0007,639,99,746,25.44,15,1,28.44,160
2022-11-04,S005,P0020,175,174,178,33.09,10,0,36.58,152
2022-07-22,S002,P0015,560,122,0,70.09,10,1,78.89,136
2023-10-24,S004,P0018,85,25,50,132.45,5,0,145.07,36
2023-10-08,S004,P0010,402,53,0,22.3,5,0,23.82,69
2022-04-17,S001,P0012,380,69,0,64.12,20,1,67.9,88
2022-02-17,S003,P0011,210,106,0,120.95,5,0,138.0,104
2022-09-02,S004,P0008,89,68,110,111.12,0,0,107.99,94
2023-02-05,S001,P0006,247,18,0,29.76,10,0,25.95,24
2022-08-11,S002,P0020,718,83,0,124.07,10,0,145.08,92
2023-03-28,S004,P0003,323,73,0,149.21,5,0,135.54,93
2022-06-13,S001,P0003,197,105,0,60.06,0,0,68.53,123
2022-11-01,S002,P0013,576,127,0,22.84,10,0,20.01,124
2022-04-03,S002,P0007,443,89,0,27.65,5,0,33.37,101
2022-08-27,S003,P0014,75,75,588,120.14,10,1,140.6,220
2023-07-05,S004,P0018,93,93,105,161.15,15,1,145.84,106
2022-05-20,S003,P0001,60,60,0,14.55,5,0,17.24,68
2022-04-09,S004,P0001,477,39,0,8.23,10,0,9.4,45
2023-12-18,S004,P0019,215,115,0,60.39,10,1,58.05,114
2023-04-14,S002,P0014,429,50,0,103.98,10,0,116.79,73
2022-09-09,S003,P0012,292,84,0,95.74,15,1,81.79,98
2023-04-21,S004,P0010,738,70,0,22.96,5,0,20.64,63
2022-07-12,S004,P0015,259,45,0,80.2,5,0,88.9,38
2023-09-22,S004,P0004,473,23,0,37.99,15,1,35.61,34
2022-05-13,S002,P0018,137,59,95,26.61,10,0,24.55,98
2022-04-19,S002,P0017,91,91,0,19.04,10,0,22.14,98
2022-04-17,S002,P0008,183,136,126,27.55,5,0,29.02,136
2023-04-17,S004,P0005,109,43,63,68.68,0,0,58.97,64
2023-04-06,S003,P0001,433,92,0,15.78,5,0,17.74,91
2022-03-28,S001,P0008,115,85,73,39.71,10,0,43.63,90
2022-04-01,S002,P0012,288,63,0,65.0,10,0,58.72,94
2023-03-12,S003,P0002,507,114,0,45.33,20,1,53.71,100
2023-06-19,S004,P0007,576,145,0,29.62,5,0,35.15,124
2023-09-17,S004,P0019,82,82,85,55.83,5,0,65.75,89
2024-01-09,S004,P0005,158,52,0,56.39,10,0,61.99,53
2023-06-25,S001,P0004,247,89,0,109.42,0,0,118.36,99
2022-01-22,S001,P0015,103,103,128,14.62,25,1,13.24,141
2022-10-01,S002,P0016,302,57,0,80.47,10,0,79.46,83
2024-01-27,S002,P0005,862,134,0,83.2,20,1,91.45,132
2022-08-16,S004,P0011,675,83,0,45.14,25,1,52.09,98
2023-06-03,S001,P0017,111,66,105,22.97,0,0,27.52,98
2023-05-23,S001,P0007,500,117,0,27.45,5,0,23.43,130
2023-09-09,S002,P0013,714,142,0,21.18,20,1,18.62,138
2023-11-12,S003,P0008,85,85,360,119.51,15,1,143.18,160
2023-07-31,S004,P0018,107,54,85,153.01,5,0,168.84,74
2022-06-25,S005,P0017,89,89,112,33.3,20,1,39.17,127
2022-07-09,S005,P0001,168,35,0,9.36,10,0,7.97,44
2022-12-12,S005,P0005,329,108,300,18.0,10,1,19.08,166
2023-12-15,S005,P0017,222,53,0,24.49,25,1,27.19,55
2023-09-25,S005,P0006,459,92,0,57.81,10,1,67.92,122
2023-05-09,S002,P0018,43,43,173,32.89,5,0,30.39,150
2023-08-22,S004,P0006,269,136,0,39.45,5,0,36.4,122
2023-03-23,S001,P0002,141,76,103,67.78,10,0,66.71,124
2023-01-09,S002,P0004,473,153,498,43.06,10,1,50.58,139
2023-09-28,S002,P0016,370,47,0,72.44,10,1,65.75,54
2022-06-22,S002,P0013,747,142,0,24.83,5,0,29.59,152
2022-04-07,S004,P0006,374,133,0,34.17,20,1,37.37,149
2022-01-28,S004,P0002,144,56,0,17.03,0,0,18.92,49
2022-08-09,S004,P0011,907,133,0,69.64,10,1,78.68,184
2023-04-23,S001,P0011,154,30,71,125.15,15,1,107.23,36
2022-10-06,S002,P0005,329,138,0,92.08,10,0,99.82,127
2022-12-10,S001,P0004,109,109,0,94.78,25,1,105.64,146
2022-10-20,S003,P0002,306,69,0,48.89,10,0,48.01,73
2023-10-01,S004,P0019,102,75,94,59.79,5,0,71.93,110
2022-04-05,S002,P0001,560,161,0,91.34,5,0,78.04,136
2022-12-23,S002,P0019,97,97,0,84.3,10,0,93.9,116
2022-12-31,S003,P0007,457,164,0,18.63,5,0,16.74,141
2023-09-17,S005,P0020,159,110,88,28.34,10,0,30.55,100
2023-07-30,S002,P0008,204,90,0,23.45,10,0,20.3,86
2022-06-10,S003,P0006,223,146,0,42.81,0,0,46.55,122
2022-12-24,S002,P0018,139,77,0,24.36,10,0,20.9,72
2023-06-17,S002,P0007,437,134,339,30.21,10,1,29.73,130
2022-08-18,S003,P0012,190,82,0,106.66,0,0,122.79,97
2023-10-29,S002,P0018,162,122,135,28.79,5,0,31.44,122
2022-05-10,S005,P0017,92,25,50,29.26,5,0,33.57,40
2022-09-02,S003,P0007,753,143,680,16.53,25,1,18.57,205
2022-05-10,S003,P0006,122,17,0,30.11,0,0,27.51,14
2022-05-27,S003,P0008,139,139,361,118.46,25,1,109.97,185
2022-10-13,S003,P0018,97,69,0,127.33,5,0,134.99,73
2023-11-28,S005,P0002,162,69,0,41.02,5,0,39.51,92
2023-03-13,S002,P0016,77,77,148,77.54,10,0,93.78,87
2023-11-16,S003,P0014,452,92,0,105.95,0,0,103.83,116
2022-03-30,S004,P0006,435,150,0,36.54,10,0,41.9,131
2023-11-08,S005,P0010,405,163,459,60.6,20,1,55.85,160
2022-06-01,S001,P0012,445,53,0,72.92,10,1,72.01,77
2022-07-29,S001,P0017,137,51,0,20.02,5,0,19.83,59
2022-07-25,S002,P0006,140,46,0,51.45,10,1,61.52,57
2022-11-19,S003,P0006,146,69,92,35.49,10,0,42.59,97
2022-04-07,S004,P0019,177,73,0,55.52,5,0,54.92,73
2023-04-19,S004,P0002,277,5,0,12.74,10,0,15.03,6
2023-11-19,S004,P0004,334,179,0,51.9,25,1,47.08,166
2023-01-01,S001,P0012,284,65,0,64.89,10,0,72.51,59
2022-06-11,S004,P0008,83,45,50,87.84,5,0,78.25,44
2023-12-29,S005,P0003,92,14,50,21.39,5,0,23.12,18
2023-02-13,S004,P0004,378,90,0,49.5,10,0,48.93,90
2022-03-11,S004,P0012,51,51,146,124.18,10,1,122.34,136
2023-05-29,S002,P0016,304,129,269,101.73,5,0,112.82,158
2023-10-21,S003,P0014,369,39,0,75.36,10,0,71.9,49
2022-03-16,S005,P0019,235,87,0,129.03,10,1,136.04,82
2022-10-03,S004,P0004,398,174,0,63.59,0,0,67.27,153
2023-03-24,S002,P0019,653,99,0,77.15,10,0,87.99,89
2022-04-15,S004,P0008,130,123,115,103.46,10,0,95.96,104
2023-12-31,S002,P0016,274,52,0,74.52,10,0,72.91,62
2022-09-06,S005,P0016,186,100,0,39.1,0,0,37.07,113
2023-06-07,S003,P0004,355,111,0,17.93,25,1,20.16,108
2023-11-07,S004,P0003,52,52,0,131.28,10,0,127.5,72
2023-10-18,S005,P0014,171,60,0,138.04,10,1,157.55,54
2023-06-21,S001,P0017,90,51,53,16.89,15,1,18.78,57
2022-04-07,S003,P0007,695,191,929,17.3,25,1,16.19,202
2023-03-15,S004,P0007,261,141,0,28.69,15,1,31.53,151
2023-05-06,S002,P0001,633,178,569,102.38,10,1,114.26,220
2023-05-21,S002,P0004,538,82,0,40.81,0,0,47.5,88
2022-03-15,S003,P0011,183,72,228,124.95,5,0,133.48,114
2022-06-16,S004,P0015,446,88,0,88.76,20,1,83.28,99
2023-08-04,S004,P0010,665,118,0,28.63,5,0,28.22,129
2022-03-10,S001,P0009,143,81,105,76.69,15,1,86.27,99
2023-07-04,S003,P0011,256,165,323,132.23,10,1,152.01,152
2022-02-18,S005,P0004,105,105,81,7.18,5,0,8.35,92
2024-01-28,S004,P0012,67,67,159,127.82,10,0,120.51,146
2023-05-15,S003,P0008,268,95,239,116.31,10,0,113.17,114
2023-05-13,S005,P0008,155,141,190,70.15,10,1,77.75,171
2024-01-29,S005,P0008,157,156,153,73.35,10,0,71.44,169
2022-01-03,S002,P0004,9,9,0,37.8,0,0,37.38,53
2023-01-21,S002,P0012,149,78,0,72.17,0,0,62.35,94
2023-06-07,S001,P0016,414,244,671,44.2,25,1,41.84,232
2022-08-28,S003,P0014,543,85,0,95.23,5,0,105.99,114
2023-02-14,S002,P0015,1066,176,0,69.73,15,1,76.98,154
2023-11-30,S005,P0006,0,0,0,62.01,10,0,70.01,146
2022-01-05,S004,P0011,293,146,0,61.57,15,1,72.03,159
2022-06-03,S003,P0003,129,123,137,88.96,10,0,107.18,126
2023-06-07,S003,P0015,649,123,0,85.17,20,1,78.09,107
2022-02-26,S004,P0020,82,37,0,121.32,0,0,104.98,41
2022-06-24,S001,P0006,440,77,0,33.56,10,0,36.06,67
2022-12-08,S002,P0018,215,119,0,32.34,0,0,35.87,144
2022-10-02,S005,P0015,143,130,0,49.65,5,0,53.37,111
2023-05-20,S003,P0012,82,44,0,97.89,0,0,114.94,72
2022-07-13,S003,P0020,470,138,454,81.78,5,0,79.05,125
2023-04-09,S003,P0006,152,65,109,29.93,25,1,34.48,100
2023-10-16,S002,P0013,493,44,0,16.94,15,1,19.09,67
2023-11-28,S002,P0019,391,79,0,87.13,0,0,81.23,79
2022-01-16,S003,P0016,9,9,0,89.37,0,0,99.81,63
2022-07-04,S003,P0003,135,64,0,74.15,10,0,72.41,57
2023-04-13,S003,P0010,108,79,73,33.14,10,0,36.12,80
2023-04-24,S003,P0002,388,53,0,50.05,0,0,48.3,51
2022-05-28,S003,P0001,287,107,0,17.16,10,0,15.03,118
2023-04-02,S003,P0007,708,139,0,17.34,0,0,19.23,117
2024-01-20,S003,P0009,72,72,98,49.75,15,1,48.99,106
2022-06-11,S004,P0003,266,141,307,129.92,25,1,129.7,124
2023-11-14,S004,P0009,223,71,0,96.55,25,1,85.69,113
2023-05-21,S003,P0004,351,55,0,18.49,5,0,20.35,50
2023-07-29,S004,P0006,343,159,288,41.75,5,0,48.21,159
2022-01-14,S004,P0013,324,117,480,21.47,20,1,21.17,171
2023-07-02,S002,P0002,121,86,0,38.77,0,0,33.12,129
2023-09-17,S002,P0005,526,124,0,91.02,10,0,84.22,106
2022-04-01,S003,P0004,440,110,357,22.4,15,1,25.62,140
2022-04-20,S005,P0019,151,97,379,172.56,10,1,154.73,160
2023-06-21,S005,P0002,411,76,0,39.69,5,0,45.96,97
2023-07-25,S005,P0015,259,164,359,51.89,25,1,47.47,192
2023-12-06,S002,P0017,468,106,0,21.5,10,1,18.41,120
2023-12-25,S005,P0018,174,95,0,22.22,5,0,19.17,101
2022-05-11,S002,P0011,384,62,0,83.33,15,1,78.78,91
2022-10-09,S004,P0014,160,98,241,174.09,10,0,158.32,101
2022-03-02,S004,P0007,347,142,0,31.66,5,0,30.67,129
2022-02-19,S001,P0002,227,148,187,84.82,0,0,100.23,185
2023-07-29,S004,P0009,369,110,292,125.49,0,0,120.29,105
2024-01-05,S002,P0015,320,129,0,69.4,10,0,74.12,133
2023-01-18,S005,P0012,506,92,0,137.86,5,0,124.76,93
2023-11-23,S001,P0009,160,102,126,98.04,0,0,103.42,125
2023-06-27,S002,P0014,320,115,0,122.1,10,0,111.97,105
2023-04-03,S004,P0018,108,44,50,135.6,5,0,144.62,42
2023-10-13,S003,P0001,176,39,0,13.02,5,0,14.82,39
2023-09-21,S003,P0009,129,129,149,69.72,0,0,79.1,184
2023-03-09,S005,P0008,94,90,78,54.0,10,0,65.28,85
2023-05-11,S001,P0007,178,53,0,18.26,25,1,16.76,77
2023-04-09,S002,P0019,654,105,0,94.36,0,0,102.66,119
2022-01-24,S003,P0017,278,72,0,115.09,15,1,103.01,91
2023-12-29,S002,P0001,606,39,0,71.68,0,0,78.02,63
2023-08-04,S004,P0005,186,146,127,81.05,0,0,94.88,128
2023-09-30,S004,P0016,156,48,0,115.85,0,0,107.0,56
2023-11-17,S005,P0005,512,179,0,20.11,0,0,18.28,149
2022-10-31,S004,P0017,181,68,0,97.23,5,0,96.2,95
2023-01-05,S004,P0004,262,115,0,57.07,5,0,55.12,117
